"Clone" "Temp" "Ca" "ID" "Time" "Dead"
"Southern" 15 0.5 1 24 TRUE
"Southern" 15 0.5 10 32 TRUE
"Southern" 15 0.5 2 35 TRUE
"Southern" 15 0.5 3 39 TRUE
"Southern" 15 0.5 4 39 TRUE
"Southern" 15 0.5 5 46 TRUE
"Southern" 15 0.5 6 46 TRUE
"Southern" 15 0.5 7 8 TRUE
"Southern" 15 0.5 8 39 TRUE
"Southern" 15 0.5 9 35 TRUE
"Southern" 15 106 1 88 FALSE
"Southern" 15 106 10 88 FALSE
"Southern" 15 106 2 88 FALSE
"Southern" 15 106 3 53 TRUE
"Southern" 15 106 4 86 TRUE
"Southern" 15 106 5 49 TRUE
"Southern" 15 106 6 60 TRUE
"Southern" 15 106 7 25 TRUE
"Southern" 15 106 8 32 TRUE
"Southern" 15 106 9 65 TRUE
"Southern" 15 4 1 88 FALSE
"Southern" 15 4 10 88 FALSE
"Southern" 15 4 2 88 FALSE
"Southern" 15 4 3 88 FALSE
"Southern" 15 4 4 86 TRUE
"Southern" 15 4 5 88 FALSE
"Southern" 15 4 6 88 FALSE
"Southern" 15 4 7 88 FALSE
"Southern" 15 4 8 58 TRUE
"Southern" 15 4 9 88 FALSE
"Southern" 25 0.5 1 7 TRUE
"Southern" 25 0.5 10 4 TRUE
"Southern" 25 0.5 2 18 TRUE
"Southern" 25 0.5 3 18 TRUE
"Southern" 25 0.5 4 11 TRUE
"Southern" 25 0.5 5 18 TRUE
"Southern" 25 0.5 6 11 TRUE
"Southern" 25 0.5 7 18 TRUE
"Southern" 25 0.5 8 14 TRUE
"Southern" 25 0.5 9 18 TRUE
"Southern" 25 106 1 39 TRUE
"Southern" 25 106 10 25 TRUE
"Southern" 25 106 2 44 TRUE
"Southern" 25 106 3 30 TRUE
"Southern" 25 106 4 35 TRUE
"Southern" 25 106 5 14 TRUE
"Southern" 25 106 6 8 TRUE
"Southern" 25 106 7 49 TRUE
"Southern" 25 106 8 25 TRUE
"Southern" 25 106 9 44 TRUE
"Southern" 25 4 1 32 TRUE
"Southern" 25 4 10 49 TRUE
"Southern" 25 4 2 42 TRUE
"Southern" 25 4 3 74 TRUE
"Southern" 25 4 4 39 TRUE
"Southern" 25 4 5 46 TRUE
"Southern" 25 4 6 15 TRUE
"Southern" 25 4 7 58 TRUE
"Southern" 25 4 8 32 TRUE
"Southern" 25 4 9 43 TRUE
"Northern" 15 0.5 1 1 TRUE
"Northern" 15 0.5 10 1 TRUE
"Northern" 15 0.5 11 3 TRUE
"Northern" 15 0.5 12 23 TRUE
"Northern" 15 0.5 14 23 TRUE
"Northern" 15 0.5 15 3 TRUE
"Northern" 15 0.5 16 32 TRUE
"Northern" 15 0.5 17 22 TRUE
"Northern" 15 0.5 18 25 TRUE
"Northern" 15 0.5 19 3 TRUE
"Northern" 15 0.5 2 25 TRUE
"Northern" 15 0.5 20 25 TRUE
"Northern" 15 0.5 3 8 TRUE
"Northern" 15 0.5 4 23 TRUE
"Northern" 15 0.5 5 1 TRUE
"Northern" 15 0.5 6 1 TRUE
"Northern" 15 0.5 7 28 TRUE
"Northern" 15 0.5 8 1 TRUE
"Northern" 15 0.5 9 1 TRUE
"Northern" 15 106 2 44 TRUE
"Northern" 15 106 3 44 TRUE
"Northern" 15 106 4 42 TRUE
"Northern" 15 106 5 23 TRUE
"Northern" 15 106 6 32 TRUE
"Northern" 15 106 7 42 TRUE
"Northern" 15 106 8 88 FALSE
"Northern" 15 106 9 88 FALSE
"Northern" 15 4 1 63 TRUE
"Northern" 15 4 10 14 TRUE
"Northern" 15 4 2 53 TRUE
"Northern" 15 4 3 60 TRUE
"Northern" 15 4 5 84 TRUE
"Northern" 15 4 6 44 TRUE
"Northern" 15 4 7 63 TRUE
"Northern" 15 4 8 46 TRUE
"Northern" 25 0.5 1 18 TRUE
"Northern" 25 0.5 10 22 TRUE
"Northern" 25 0.5 2 23 TRUE
"Northern" 25 0.5 3 11 TRUE
"Northern" 25 0.5 4 4 TRUE
"Northern" 25 0.5 5 4 TRUE
"Northern" 25 0.5 7 16 TRUE
"Northern" 25 0.5 8 15 TRUE
"Northern" 25 0.5 9 15 TRUE
"Northern" 25 106 1 44 TRUE
"Northern" 25 106 2 7 TRUE
"Northern" 25 106 3 51 TRUE
"Northern" 25 106 4 25 TRUE
"Northern" 25 106 5 28 TRUE
"Northern" 25 106 6 35 TRUE
"Northern" 25 106 7 70 TRUE
"Northern" 25 106 8 35 TRUE
"Northern" 25 106 9 72 TRUE
"Northern" 25 4 1 56 TRUE
"Northern" 25 4 10 30 TRUE
"Northern" 25 4 2 53 TRUE
"Northern" 25 4 3 53 TRUE
"Northern" 25 4 4 63 TRUE
"Northern" 25 4 5 72 TRUE
"Northern" 25 4 6 63 TRUE
"Northern" 25 4 7 35 TRUE
"Northern" 25 4 8 58 TRUE
"Northern" 25 4 9 28 TRUE
